date,image_name,no_distortion_pixel_mean,no_distortion_count,distortion_pixel_mean,distortion_count,total_mean,total_count
20211017130051,FA0002_GW01_H02_0013_20211017130051_farm_image_real_f2a03e11.jpg,7740.0,19,7518.0,13,7650.0,32
20211016130839,FA0002_GW01_H02_0013_20211016130839_farm_image_real_575cc262.jpg,7591.0,11,7960.0,7,7735.0,18
20211006130318,FA0002_GW01_H02_0015_20211006130318_farm_image_real_49a14057.jpg,6985.0,18,7118.0,9,7030.0,27
20211005130335,FA0002_GW01_H02_0015_20211005130335_farm_image_real_a614b943.jpg,6534.0,17,7737.0,8,6919.0,25
20211004130000,FA0002_GW01_H02_0015_20211004130000_farm_image_real_36f7c1ae.jpg,6714.0,21,7495.0,13,7013.0,34
20211003130040,FA0002_GW01_H02_0015_20211003130040_farm_image_real_1ba6756b.jpg,6267.0,18,6853.0,17,6552.0,35
20211012130429,FA0002_GW01_H02_0015_20211012130429_farm_image_real_88191f67.jpg,6906.0,17,7965.0,4,7107.0,21
20211011130957,FA0002_GW01_H02_0015_20211011130957_farm_image_real_90557eb1.jpg,7396.0,15,8460.0,7,7734.0,22
20211010130328,FA0002_GW01_H02_0015_20211010130328_farm_image_real_35dd0045.jpg,6967.0,19,7930.0,4,7135.0,23
20211009130014,FA0002_GW01_H02_0015_20211009130014_farm_image_real_42e78ddc.jpg,7389.0,16,7871.0,13,7605.0,29
20211008130625,FA0002_GW01_H02_0015_20211008130625_farm_image_real_5af8c89b.jpg,5926.0,4,,0,5926.0,4
20211007130620,FA0002_GW01_H02_0015_20211007130620_farm_image_real_ee2fc64d.jpg,6886.0,21,8136.0,10,7289.0,31
20211018130037,FA0002_GW01_H02_0015_20211018130037_farm_image_real_4e08120b.jpg,638.0,2,7999.0,1,3092.0,3
20211017130836,FA0002_GW01_H02_0015_20211017130836_farm_image_real_31fc4b4e.jpg,9169.0,13,8747.0,10,8986.0,23
20211016130436,FA0002_GW01_H02_0015_20211016130436_farm_image_real_cda3108c.jpg,8099.0,16,9250.0,9,8513.0,25
20211015131039,FA0002_GW01_H02_0015_20211015131039_farm_image_real_f611c2ad.jpg,6145.0,4,,0,6145.0,4
20211014130634,FA0002_GW01_H02_0015_20211014130634_farm_image_real_fce316d6.jpg,7476.0,11,8275.0,9,7835.0,20
20211013130602,FA0002_GW01_H02_0015_20211013130602_farm_image_real_3401e762.jpg,6699.0,7,7687.0,2,6919.0,9
20211019130246,FA0002_GW01_H02_0015_20211019130246_farm_image_real_f5048877490d.jpg,6158.0,1,,0,6158.0,1
