수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-09-17 04:35:17,GW01,H01,2000,humidity,81.74657,20210101000000
2021-09-17 04:34:54,GW01,H02,2003,humidity,69.16895,20210917043453
2021-09-17 04:38:36,GW01,H01,1100,nh3,0.016777,20210101000000
2021-09-17 04:38:36,GW01,H01,1100,co2,0,20210101000000
2021-09-17 04:38:52,GW01,H02,2001,temp,24.6155,20210101000000
2021-09-17 04:42:34,GW01,H01,1102,co2,547,20210916194033
2021-09-17 04:42:52,GW01,H02,2001,humidity,77.78304,20210101000000
2021-09-17 04:42:31,GW01,H01,2002,temp,24.37415,20210917044229
2021-09-17 04:42:31,GW01,H01,2002,humidity,78.2569,20210917044229
2021-09-17 04:42:34,GW01,H01,1102,nh3,1.071794,20210916194033
2021-09-17 04:45:17,GW01,H01,2000,humidity,81.47585,20210101000000
2021-09-17 04:45:17,GW01,H01,2000,temp,24.12413,20210101000000
2021-09-17 04:44:54,GW01,H02,2003,humidity,68.9305,20210917044453
2021-09-17 04:44:54,GW01,H02,2003,temp,24.59829,20210917044453
2021-09-17 04:48:37,GW01,H01,1100,co2,0,20210101000000
2021-09-17 04:48:52,GW01,H02,2001,temp,24.60846,20210101000000
2021-09-17 04:48:37,GW01,H01,1100,nh3,0.016387,20210101000000
2021-09-17 04:52:36,GW01,H01,1102,co2,559,20210916195034
2021-09-17 04:52:32,GW01,H01,2002,humidity,78.41548,20210917045229
2021-09-17 04:52:32,GW01,H01,2002,temp,24.40001,20210917045229
2021-09-17 04:52:36,GW01,H01,1102,nh3,1.070589,20210916195034
2021-09-17 04:52:52,GW01,H02,2001,humidity,78.01695,20210101000000
2021-09-17 04:54:54,GW01,H02,2003,temp,24.50357,20210917045453
2021-09-17 04:55:17,GW01,H01,2000,temp,24.19999,20210101000000
2021-09-17 04:54:54,GW01,H02,2003,humidity,69.1286,20210917045453
2021-09-17 04:55:17,GW01,H01,2000,humidity,81.62417,20210101000000
2021-09-17 04:58:52,GW01,H02,2001,temp,24.59999,20210101000000
2021-09-17 04:58:38,GW01,H01,1100,nh3,0.01707,20210101000000
2021-09-17 04:58:38,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:02:37,GW01,H01,1102,co2,562,20210916200035
2021-09-17 05:02:52,GW01,H02,2001,humidity,78.18927,20210101000000
2021-09-17 05:02:37,GW01,H01,1102,nh3,1.078822,20210916200035
2021-09-17 05:04:32,GW01,H01,2002,temp,24.40001,20210917050429
2021-09-17 05:04:56,GW01,H02,2003,temp,24.55931,20210917050454
2021-09-17 05:05:17,GW01,H01,2000,humidity,81.58452,20210101000000
2021-09-17 05:05:17,GW01,H01,2000,temp,24.20344,20210101000000
2021-09-17 05:04:56,GW01,H02,2003,humidity,69.1746,20210917050454
2021-09-17 05:04:32,GW01,H01,2002,humidity,78.34483,20210917050429
2021-09-17 05:08:52,GW01,H02,2001,temp,24.61033,20210101000000
2021-09-17 05:08:38,GW01,H01,1100,nh3,0.015914,20210101000000
2021-09-17 05:08:38,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:12:52,GW01,H02,2001,humidity,77.74484,20210101000000
2021-09-17 05:12:38,GW01,H01,1102,nh3,1.072966,20210916201037
2021-09-17 05:12:38,GW01,H01,1102,co2,552,20210916201037
2021-09-17 05:15:17,GW01,H01,2000,temp,24.19999,20210101000000
2021-09-17 05:15:17,GW01,H01,2000,humidity,81.07967,20210101000000
2021-09-17 05:16:32,GW01,H01,2002,temp,24.40001,20210917051630
2021-09-17 05:16:32,GW01,H01,2002,humidity,77.78279,20210917051630
2021-09-17 05:16:54,GW01,H02,2003,temp,24.60688,20210917051652
2021-09-17 05:16:54,GW01,H02,2003,humidity,68.50861,20210917051652
2021-09-17 05:18:39,GW01,H01,1100,nh3,0.018152,20210101000000
2021-09-17 05:18:39,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:18:52,GW01,H02,2001,temp,24.69827,20210101000000
2021-09-17 05:22:52,GW01,H02,2001,humidity,77.4931,20210101000000
2021-09-17 05:22:39,GW01,H01,1102,co2,569,20210916202038
2021-09-17 05:22:39,GW01,H01,1102,nh3,1.06835,20210916202038
2021-09-17 05:25:17,GW01,H01,2000,humidity,81.24068,20210101000000
2021-09-17 05:25:17,GW01,H01,2000,temp,24.20338,20210101000000
2021-09-17 05:26:54,GW01,H02,2003,temp,24.59826,20210917052652
2021-09-17 05:26:54,GW01,H02,2003,humidity,68.59312,20210917052652
2021-09-17 05:28:32,GW01,H01,2002,temp,24.47119,20210917052830
2021-09-17 05:28:32,GW01,H01,2002,humidity,77.89152,20210917052830
2021-09-17 05:28:40,GW01,H01,1100,nh3,0.016679,20210101000000
2021-09-17 05:28:40,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:28:52,GW01,H02,2001,temp,24.69827,20210101000000
2021-09-17 05:32:40,GW01,H01,1102,nh3,1.074207,20210916203039
2021-09-17 05:32:52,GW01,H02,2001,humidity,77.18276,20210101000000
2021-09-17 05:32:40,GW01,H01,1102,co2,582,20210916203039
2021-09-17 05:35:17,GW01,H01,2000,humidity,80.90674,20210101000000
2021-09-17 05:35:17,GW01,H01,2000,temp,24.30001,20210101000000
2021-09-17 05:36:54,GW01,H02,2003,temp,24.60516,20210917053653
2021-09-17 05:36:54,GW01,H02,2003,humidity,68.19135,20210917053653
2021-09-17 05:38:41,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:38:41,GW01,H01,1100,nh3,0.017115,20210101000000
2021-09-17 05:38:52,GW01,H02,2001,temp,24.69999,20210101000000
2021-09-17 05:40:32,GW01,H01,2002,temp,24.56948,20210917054030
2021-09-17 05:40:32,GW01,H01,2002,humidity,77.43896,20210917054030
2021-09-17 05:42:41,GW01,H01,1102,nh3,1.094258,20210916204040
2021-09-17 05:42:41,GW01,H01,1102,co2,579,20210916204040
2021-09-17 05:42:52,GW01,H02,2001,humidity,77.22709,20210101000000
2021-09-17 05:45:17,GW01,H01,2000,humidity,80.90858,20210101000000
2021-09-17 05:45:17,GW01,H01,2000,temp,24.31897,20210101000000
2021-09-17 05:46:54,GW01,H02,2003,temp,24.59999,20210917054653
2021-09-17 05:46:54,GW01,H02,2003,humidity,68.2707,20210917054653
2021-09-17 05:48:41,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:48:52,GW01,H02,2001,temp,24.69999,20210101000000
2021-09-17 05:48:41,GW01,H01,1100,nh3,0.015613,20210101000000
2021-09-17 05:52:31,GW01,H01,2002,humidity,76.77415,20210917055229
2021-09-17 05:52:31,GW01,H01,2002,temp,24.60171,20210917055229
2021-09-17 05:52:42,GW01,H01,1102,nh3,1.069452,20210916205041
