org_file_name,db_weight_prediction_pixel_mean,jetson_weight_prediction_pixel_mean,delta,create_time
FA0002_GW01_H02_0012_20211125103635_farm_image_real_ae11726f4fab.jpg,9466.0,1439.0,8027.0,2021-11-25 10:36:35
FA0002_GW01_H01_0002_20211125103825_farm_image_real_e9061c6643ca.jpg,9660.0,1560.0,8100.0,2021-11-25 10:38:25
FA0002_GW01_H02_0010_20211125103828_farm_image_real_046515ce4df7.jpg,7877.0,1386.0,6491.0,2021-11-25 10:38:28
FA0002_GW01_H01_0007_20211125103835_farm_image_real_167266de430e.jpg,7532.0,1209.0,6323.0,2021-11-25 10:38:35
FA0002_GW01_H02_0013_20211125103848_farm_image_real_9b01d0644b41.jpg,9598.0,1466.0,8132.0,2021-11-25 10:38:48
FA0002_GW01_H02_0014_20211125104040_farm_image_real_131af2c84879.jpg,10511.0,1765.0,8746.0,2021-11-25 10:40:40
FA0002_GW01_H02_0015_20211125104041_farm_image_real_547022f642c3.jpg,8686.0,1724.0,6962.0,2021-11-25 10:40:41
FA0002_GW01_H01_0001_20211125104653_farm_image_real_32eb5f8e45f1.jpg,9384.0,1534.0,7850.0,2021-11-25 10:46:53
FA0002_GW01_H02_0012_20211125104832_farm_image_real_78dfc50843a0.jpg,8053.0,1316.0,6737.0,2021-11-25 10:48:32
FA0002_GW01_H02_0010_20211125104833_farm_image_real_f79eddee49ce.jpg,7979.0,1262.0,6717.0,2021-11-25 10:48:33
FA0002_GW01_H01_0002_20211125104834_farm_image_real_f8f95c4a44d7.jpg,8857.0,1437.0,7420.0,2021-11-25 10:48:34
FA0002_GW01_H02_0013_20211125105039_farm_image_real_e35022f24202.jpg,9962.0,1676.0,8286.0,2021-11-25 10:50:39
FA0002_GW01_H02_0015_20211125105041_farm_image_real_fbb92a5b4abd.jpg,8415.0,1458.0,6957.0,2021-11-25 10:50:41
FA0002_GW01_H02_0014_20211125105236_farm_image_real_dca681c44564.jpg,7158.0,1150.0,6008.0,2021-11-25 10:52:36
FA0002_GW01_H01_0001_20211125105658_farm_image_real_dc6be115416b.jpg,9387.0,1488.0,7899.0,2021-11-25 10:56:58
FA0002_GW01_H02_0010_20211125105834_farm_image_real_c7fa30aa4db3.jpg,9214.0,1478.0,7736.0,2021-11-25 10:58:34
FA0002_GW01_H01_0002_20211125110026_farm_image_real_c1e69c0947ad.jpg,9304.0,1663.0,7641.0,2021-11-25 11:00:26
FA0002_GW01_H02_0012_20211125110029_farm_image_real_882e1c004b23.jpg,7744.0,1536.0,6208.0,2021-11-25 11:00:29
FA0002_GW01_H02_0013_20211125110234_farm_image_real_811e667b4fd8.jpg,9078.0,1591.0,7487.0,2021-11-25 11:02:34
FA0002_GW01_H02_0014_20211125110236_farm_image_real_3f51fe5a409d.jpg,9436.0,1548.0,7888.0,2021-11-25 11:02:36
FA0002_GW01_H01_0001_20211125110701_farm_image_real_8f2b8038493b.jpg,9532.0,1542.0,7990.0,2021-11-25 11:07:01
FA0002_GW01_H02_0010_20211125110843_farm_image_real_ba76e3f64975.jpg,10438.0,1698.0,8740.0,2021-11-25 11:08:43
FA0002_GW01_H01_0002_20211125111032_farm_image_real_e97f2dc04c2a.jpg,10503.0,1663.0,8840.0,2021-11-25 11:10:32
FA0002_GW01_H02_0012_20211125111230_farm_image_real_03be1408404d.jpg,9270.0,1581.0,7689.0,2021-11-25 11:12:30
FA0002_GW01_H02_0013_20211125111236_farm_image_real_da371902410d.jpg,10096.0,1757.0,8339.0,2021-11-25 11:12:36
FA0002_GW01_H02_0015_20211125111434_farm_image_real_8f2b737a4c36.jpg,8802.0,1435.0,7367.0,2021-11-25 11:14:34
FA0002_GW01_H01_0001_20211125111701_farm_image_real_9f2e8efc4ced.jpg,9105.0,1448.0,7657.0,2021-11-25 11:17:01
FA0002_GW01_H02_0010_20211125112031_farm_image_real_b802863e4d0b.jpg,10009.0,1662.0,8347.0,2021-11-25 11:20:31
FA0002_GW01_H02_0013_20211125112240_farm_image_real_323038454c9d.jpg,9201.0,1554.0,7647.0,2021-11-25 11:22:40
FA0002_GW01_H02_0012_20211125112428_farm_image_real_b94b4edf40a2.jpg,8634.0,1406.0,7228.0,2021-11-25 11:24:28
FA0002_GW01_H02_0014_20211125112439_farm_image_real_946e910443f5.jpg,9640.0,1549.0,8091.0,2021-11-25 11:24:39
FA0002_GW01_H02_0015_20211125112441_farm_image_real_660c7d8d4bbb.jpg,10094.0,1615.0,8479.0,2021-11-25 11:24:41
FA0002_GW01_H01_0001_20211125112704_farm_image_real_5a7fab44422e.jpg,9046.0,1457.0,7589.0,2021-11-25 11:27:04
FA0002_GW01_H02_0010_20211125113234_farm_image_real_9233961f44f9.jpg,10001.0,1690.0,8311.0,2021-11-25 11:32:34
FA0002_GW01_H02_0012_20211125113430_farm_image_real_d4dbd90e4c56.jpg,8608.0,1399.0,7209.0,2021-11-25 11:34:30
