"create_time","farm_id","house_id","module_id","org_file_name","weight_prediction_count","weight_prediction_pixel_mean","weight_prediction_weight","weight_prediction_status"
"2021-11-23 11:54:29","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123115429_farm_image_real_62c12cae4774.jpg",1,8815.0,1950.5,"success"
"2021-11-23 11:54:35","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123115435_farm_image_real_2875cfde4544.jpg",3,8916.0,1973.2,"success"
"2021-11-23 11:54:44","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123115444_farm_image_real_bb4147f74e26.jpg",3,9476.0,2099.1,"success"
"2021-11-23 12:02:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123120212_farm_image_real_e637c8dc4c81.jpg","","","","fail"
"2021-11-23 12:02:52","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123120252_farm_image_real_1d23fa394cc7.jpg","","","","fail"
"2021-11-23 12:04:32","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123120432_farm_image_real_6c6c640f4fb1.jpg",6,8944.0,1979.5,"success"
"2021-11-23 12:04:35","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123120435_farm_image_real_b994d23e49d0.jpg",2,9810.0,2174.2,"success"
"2021-11-23 12:04:35","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123120435_farm_image_real_a2966c3d4c42.jpg","","","","fail"
"2021-11-23 12:06:27","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123120627_farm_image_real_e5e9c71146e6.jpg","","","","fail"
"2021-11-23 12:06:31","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123120631_farm_image_real_1a1489054dfe.jpg","","","","fail"
"2021-11-23 12:06:39","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123120639_farm_image_real_491d02fb49c4.jpg",6,9888.0,2191.7,"success"
"2021-11-23 12:12:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123121212_farm_image_real_3bf4c7fb4e64.jpg",4,9052.0,2003.8,"success"
"2021-11-23 12:14:34","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123121434_farm_image_real_2af7712f4bca.jpg",5,9947.0,2205.0,"success"
"2021-11-23 12:14:38","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123121438_farm_image_real_423feac346b4.jpg",11,8854.0,1959.3,"success"
"2021-11-23 12:14:51","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123121451_farm_image_real_f95bd4ae4325.jpg",1,11500.0,2554.1,"success"
"2021-11-23 12:14:51","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123121451_farm_image_real_c365771c4d0e.jpg","","","","fail"
"2021-11-23 12:16:28","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123121628_farm_image_real_674f4b9b4e6a.jpg",2,9783.0,2168.1,"success"
"2021-11-23 12:16:44","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123121644_farm_image_real_764a8bbb4b64.jpg","","","","fail"
"2021-11-23 12:16:48","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123121648_farm_image_real_d1098bbf4fcf.jpg",4,9566.0,2119.3,"success"
"2021-11-23 12:22:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123122212_farm_image_real_b84f9d3f45b2.jpg",5,9262.0,2051.0,"success"
"2021-11-23 12:26:28","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123122628_farm_image_real_8031cc5c4d4d.jpg",1,9284.0,2055.9,"success"
"2021-11-23 12:26:30","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123122630_farm_image_real_f6f5656f46a1.jpg",4,9212.0,2039.7,"success"
"2021-11-23 12:26:32","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123122632_farm_image_real_8a5ce48744ea.jpg",5,9014.0,1995.2,"success"
"2021-11-23 12:26:42","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123122642_farm_image_real_07af50954b48.jpg",5,8609.0,1904.2,"success"
"2021-11-23 12:26:44","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123122644_farm_image_real_f67910ae4d76.jpg",2,9180.0,2032.5,"success"
"2021-11-23 12:26:51","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123122651_farm_image_real_2dd37eef4b62.jpg","","","","fail"
"2021-11-23 12:28:41","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123122841_farm_image_real_90bab8ef4e51.jpg",5,9727.0,2155.5,"success"
"2021-11-23 12:32:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123123212_farm_image_real_0ead66d0471a.jpg",3,8868.0,1962.4,"success"
"2021-11-23 12:36:39","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123123639_farm_image_real_d3332b8d49e6.jpg","","","","fail"
"2021-11-23 12:36:45","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123123645_farm_image_real_475948b54d5f.jpg",5,10299.0,2284.1,"success"
"2021-11-23 12:38:31","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123123831_farm_image_real_02406c1a437c.jpg","","","","fail"
"2021-11-23 12:38:34","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123123834_farm_image_real_e583a1494c60.jpg",3,8990.0,1989.8,"success"
"2021-11-23 12:38:35","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123123835_farm_image_real_eb8d0dc045d4.jpg",4,8975.0,1986.5,"success"
"2021-11-23 12:38:42","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123123842_farm_image_real_59690b914eb8.jpg",7,9439.0,2090.8,"success"
"2021-11-23 12:38:44","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123123844_farm_image_real_196a8c904eda.jpg","","","","fail"
"2021-11-23 12:42:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123124212_farm_image_real_9f0cbbd44f9a.jpg",3,10138.0,2247.9,"success"
"2021-11-23 12:46:49","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123124649_farm_image_real_6f7876254340.jpg","","","","fail"
"2021-11-23 12:46:50","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123124650_farm_image_real_da0b7dd446b8.jpg",1,10171.0,2255.3,"success"
"2021-11-23 12:48:37","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123124837_farm_image_real_f50e903149ec.jpg",5,9308.0,2061.3,"success"
"2021-11-23 12:48:44","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123124844_farm_image_real_7d46d3ae4a79.jpg","","","","fail"
"2021-11-23 12:50:28","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123125028_farm_image_real_071b49234659.jpg","","","","fail"
"2021-11-23 12:50:30","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123125030_farm_image_real_f4906e46431b.jpg",2,9194.0,2035.7,"success"
"2021-11-23 12:50:41","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123125041_farm_image_real_5879f874499c.jpg",4,9526.0,2110.3,"success"
"2021-11-23 12:52:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123125212_farm_image_real_ef232f3c4442.jpg",5,8372.0,1850.9,"success"
"2021-11-23 12:58:37","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123125837_farm_image_real_412bf98747ce.jpg",4,9778.0,2167.0,"success"
"2021-11-23 12:58:38","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123125838_farm_image_real_a1e21a0b4b65.jpg",1,9547.0,2115.0,"success"
"2021-11-23 13:00:31","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123130031_farm_image_real_ce3abd9d484a.jpg",1,9131.0,2021.5,"success"
"2021-11-23 13:00:34","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123130034_farm_image_real_1151eedd4e58.jpg",2,9432.0,2089.2,"success"
"2021-11-23 13:00:41","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123130041_farm_image_real_d6864cc24ee4.jpg",1,6926.0,1525.8,"success"
"2021-11-23 13:02:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123130212_farm_image_real_d49f375d4f90.jpg",3,9328.0,2065.8,"success"
"2021-11-23 13:02:30","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123130230_farm_image_real_dd5412a7443a.jpg","","","","fail"
"2021-11-23 13:02:36","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123130236_farm_image_real_e67ca57c4657.jpg",6,7816.0,1725.9,"success"
"2021-11-23 13:08:43","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123130843_farm_image_real_e171f4c94334.jpg",2,9166.0,2029.4,"success"
"2021-11-23 13:10:40","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123131040_farm_image_real_5731be7c4b4e.jpg",1,10104.0,2240.3,"success"
"2021-11-23 13:10:45","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123131045_farm_image_real_efc0245d4034.jpg","","","","fail"
"2021-11-23 13:10:59","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123131059_farm_image_real_8abba5ad4730.jpg","","","","fail"
"2021-11-23 13:12:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123131212_farm_image_real_21ab1d314846.jpg",4,9822.0,2176.9,"success"
"2021-11-23 13:12:31","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123131231_farm_image_real_8baf39a54367.jpg","","","","fail"
"2021-11-23 13:12:31","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123131231_farm_image_real_16b2c5304ef3.jpg",2,8344.0,1844.6,"success"
"2021-11-23 13:14:33","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123131433_farm_image_real_016d2c374073.jpg",7,9731.0,2156.4,"success"
