,CREATE_TIME,HOUSE_ID,MODULE_ID,WEIGHT_PREDICTION_WEIGHT,WEIGHT_PREDICTION_PIXEL_MEDIAN
146,2022-01-20 16:18:23,H03,"CT09,8",34.8,
147,2022-01-20 16:18:34,H03,"CT10,11",37.0,
148,2022-01-20 16:32:35,H02,"CT04,2",41.1,
149,2022-01-20 16:32:49,H02,"CT05,5",40.2,
150,2022-01-20 16:33:12,H03,"CT08,5",37.3,
151,2022-01-20 16:33:14,H02,"CT06,8",39.1,
152,2022-01-20 16:33:33,H03,"CT10,11",35.0,
153,2022-01-20 16:47:36,H02,"CT04,2",40.7,
154,2022-01-20 16:47:45,H02,"CT05,5",45.3,
155,2022-01-20 16:47:58,H02,"CT06,8",41.2,
156,2022-01-20 16:48:02,H03,"CT07,2",34.4,
157,2022-01-20 16:48:12,H03,"CT08,5",40.5,
158,2022-01-20 16:48:24,H03,"CT09,8",36.5,
159,2022-01-20 16:48:34,H03,"CT10,11",37.4,
160,2022-01-20 17:02:33,H02,"CT04,2",42.1,
161,2022-01-20 17:02:45,H02,"CT05,5",41.2,
162,2022-01-20 17:03:00,H02,"CT06,8",39.1,
163,2022-01-20 17:03:03,H03,"CT07,2",36.8,
164,2022-01-20 17:03:12,H03,"CT08,5",41.6,
165,2022-01-20 17:03:24,H03,"CT09,8",37.2,
166,2022-01-20 17:03:33,H03,"CT10,11",36.1,
167,2022-01-20 17:17:37,H02,"CT04,2",42.1,
168,2022-01-20 17:17:48,H02,"CT05,5",41.0,
169,2022-01-20 17:18:02,H03,"CT07,2",39.7,
170,2022-01-20 17:18:12,H03,"CT08,5",45.3,
171,2022-01-20 17:18:15,H02,"CT06,8",40.6,
172,2022-01-20 17:18:22,H03,"CT09,8",39.6,
173,2022-01-20 17:18:33,H03,"CT10,11",37.5,
174,2022-01-20 17:18:48,H01,"CT02,5",52.2,
175,2022-01-20 17:32:32,H02,"CT04,2",42.6,
176,2022-01-20 17:32:45,H02,"CT05,5",43.0,
177,2022-01-20 17:32:59,H02,"CT06,8",42.8,
178,2022-01-20 17:33:12,H03,"CT08,5",40.5,
179,2022-01-20 17:33:23,H03,"CT09,8",39.3,
180,2022-01-20 17:33:33,H03,"CT10,11",39.6,
181,2022-01-20 17:48:01,H03,"CT07,2",36.8,
182,2022-01-20 17:48:11,H03,"CT08,5",44.9,
183,2022-01-20 17:48:22,H03,"CT09,8",35.4,
184,2022-01-20 17:48:33,H03,"CT10,11",35.7,
185,2022-01-20 18:03:02,H03,"CT07,2",39.1,
186,2022-01-20 18:03:12,H03,"CT08,5",41.2,
187,2022-01-20 18:03:23,H03,"CT09,8",37.9,
188,2022-01-20 18:03:34,H03,"CT10,11",37.4,
189,2022-01-20 18:18:02,H03,"CT07,2",37.2,
190,2022-01-20 18:18:12,H03,"CT08,5",35.8,
191,2022-01-20 18:18:23,H03,"CT09,8",49.8,
192,2022-01-20 18:18:34,H03,"CT10,11",37.6,
193,2022-01-20 18:33:12,H03,"CT08,5",37.6,
194,2022-01-20 18:33:22,H03,"CT09,8",39.5,
195,2022-01-20 18:33:36,H03,"CT10,11",36.9,
196,2022-01-20 18:47:32,H02,"CT04,2",36.1,
197,2022-01-20 18:47:45,H02,"CT05,5",44.4,
198,2022-01-20 18:47:58,H02,"CT06,8",43.5,
199,2022-01-20 18:48:01,H03,"CT07,2",38.1,
200,2022-01-20 18:48:12,H03,"CT08,5",45.7,
201,2022-01-20 18:48:34,H03,"CT10,11",40.1,
202,2022-01-20 18:52:32,H01,"CT03,8",21.3,
203,2022-01-20 19:02:37,H02,"CT04,2",45.4,
204,2022-01-20 19:02:49,H02,"CT05,5",42.4,
205,2022-01-20 19:02:59,H02,"CT06,8",38.9,
206,2022-01-20 19:03:01,H01,"CT02,5",46.2,
207,2022-01-20 19:03:02,H03,"CT07,2",39.8,
208,2022-01-20 19:03:24,H03,"CT09,8",36.6,
209,2022-01-20 19:03:33,H03,"CT10,11",35.6,
210,2022-01-20 19:17:32,H02,"CT04,2",42.8,
211,2022-01-20 19:17:42,H02,"CT05,5",44.7,
212,2022-01-20 19:18:02,H02,"CT06,8",39.6,
213,2022-01-20 19:18:12,H03,"CT08,5",42.8,
214,2022-01-20 19:18:22,H03,"CT09,8",37.9,
215,2022-01-20 19:18:33,H03,"CT10,11",39.7,
216,2022-01-20 19:32:42,H02,"CT04,2",46.3,
217,2022-01-20 19:32:51,H02,"CT05,5",43.1,
218,2022-01-20 19:32:54,H01,"CT01,2",54.2,
219,2022-01-20 19:33:02,H02,"CT06,8",41.2,
220,2022-01-20 19:33:02,H03,"CT07,2",40.0,
221,2022-01-20 19:33:12,H03,"CT08,5",44.2,
222,2022-01-20 19:33:23,H03,"CT09,8",37.0,
223,2022-01-20 19:33:33,H03,"CT10,11",35.5,
224,2022-01-20 19:33:56,H01,"CT02,5",44.0,
