수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-07-02 12:02:40,GW01,1,00000001,nh3,3.25,20210702120239
2021-07-02 12:02:39,GW01,1,00000001,co2,402.04,20210702120239
2021-07-02 12:01:49,GW01,1,00000001,temp,26.81668,20210702120148
2021-07-02 12:01:49,GW01,1,00000001,humidity,74.49165,20210702120148
2021-07-02 12:00:39,GW01,1,00000001,co2,402.03,20210702120039
2021-07-02 12:00:39,GW01,1,00000001,nh3,3.24,20210702120039
2021-07-02 11:59:49,GW01,1,00000001,humidity,74.66,20210702115948
2021-07-02 11:59:49,GW01,1,00000001,temp,26.79667,20210702115948
2021-07-02 11:58:40,GW01,1,00000001,co2,401.96,20210702115839
2021-07-02 11:58:40,GW01,1,00000001,nh3,3.14,20210702115839
2021-07-02 11:57:49,GW01,1,00000001,temp,26.79154,20210702115748
2021-07-02 11:57:49,GW01,1,00000001,humidity,74.7322,20210702115748
2021-07-02 11:56:39,GW01,1,00000001,nh3,3.09,20210702115639
2021-07-02 11:56:39,GW01,1,00000001,co2,401.93,20210702115639
2021-07-02 11:55:49,GW01,1,00000001,temp,26.78667,20210702115548
2021-07-02 11:55:49,GW01,1,00000001,humidity,75.03167,20210702115548
2021-07-02 11:54:39,GW01,1,00000001,nh3,3.10,20210702115439
2021-07-02 11:54:39,GW01,1,00000001,co2,401.93,20210702115439
2021-07-02 11:53:49,GW01,1,00000001,humidity,75.56666,20210702115348
2021-07-02 11:53:49,GW01,1,00000001,temp,26.79835,20210702115348
2021-07-02 11:52:40,GW01,1,00000001,co2,401.93,20210702115239
2021-07-02 11:52:40,GW01,1,00000001,nh3,3.10,20210702115239
2021-07-02 11:51:49,GW01,1,00000001,temp,26.79668,20210702115147
2021-07-02 11:51:49,GW01,1,00000001,humidity,75.07835,20210702115147
2021-07-02 11:50:39,GW01,1,00000001,nh3,3.11,20210702115039
2021-07-02 11:50:39,GW01,1,00000001,co2,401.94,20210702115039
2021-07-02 11:49:49,GW01,1,00000001,humidity,75.21168,20210702114947
2021-07-02 11:49:49,GW01,1,00000001,temp,26.79501,20210702114947
2021-07-02 11:48:40,GW01,1,00000001,nh3,3.12,20210702114838
2021-07-02 11:48:39,GW01,1,00000001,co2,401.95,20210702114838
2021-07-02 11:47:49,GW01,1,00000001,humidity,74.77834,20210702114747
2021-07-02 11:47:49,GW01,1,00000001,temp,26.79334,20210702114747
2021-07-02 11:46:40,GW01,1,00000001,nh3,3.13,20210702114638
2021-07-02 11:46:39,GW01,1,00000001,co2,401.96,20210702114638
2021-07-02 11:45:49,GW01,1,00000001,temp,26.78667,20210702114547
2021-07-02 11:45:49,GW01,1,00000001,humidity,74.96335,20210702114547
2021-07-02 11:44:40,GW01,1,00000001,co2,401.99,20210702114438
2021-07-02 11:44:40,GW01,1,00000001,nh3,3.17,20210702114438
2021-07-02 11:43:49,GW01,1,00000001,temp,26.79168,20210702114347
2021-07-02 11:43:49,GW01,1,00000001,humidity,74.77831,20210702114347
2021-07-02 11:42:39,GW01,1,00000001,co2,401.97,20210702114238
2021-07-02 11:42:39,GW01,1,00000001,nh3,3.15,20210702114238
2021-07-02 11:41:49,GW01,1,00000001,temp,26.78834,20210702114147
2021-07-02 11:41:49,GW01,1,00000001,humidity,74.71338,20210702114147
2021-07-02 11:40:40,GW01,1,00000001,nh3,3.10,20210702114038
2021-07-02 11:40:40,GW01,1,00000001,co2,401.94,20210702114038
2021-07-02 11:39:49,GW01,1,00000001,temp,26.73667,20210702113947
2021-07-02 11:39:49,GW01,1,00000001,humidity,74.92164,20210702113947
2021-07-02 11:38:40,GW01,1,00000001,co2,401.91,20210702113838
2021-07-02 11:38:40,GW01,1,00000001,nh3,3.07,20210702113838
2021-07-02 11:37:49,GW01,1,00000001,temp,26.73334,20210702113747
2021-07-02 11:37:49,GW01,1,00000001,humidity,75.14668,20210702113747
2021-07-02 11:36:40,GW01,1,00000001,co2,401.89,20210702113638
2021-07-02 11:36:40,GW01,1,00000001,nh3,3.04,20210702113638
2021-07-02 11:35:49,GW01,1,00000001,humidity,75.34999,20210702113547
2021-07-02 11:35:49,GW01,1,00000001,temp,26.69832,20210702113547
2021-07-02 11:34:40,GW01,1,00000001,co2,401.91,20210702113438
2021-07-02 11:34:40,GW01,1,00000001,nh3,3.06,20210702113438
2021-07-02 11:33:49,GW01,1,00000001,humidity,75.13055,20210702113347
2021-07-02 11:33:49,GW01,1,00000001,temp,26.68812,20210702113347
2021-07-02 11:32:40,GW01,1,00000001,nh3,3.11,20210702113238
2021-07-02 11:32:40,GW01,1,00000001,co2,401.94,20210702113238
